id,#ofwords,#ofGPs,APV-BI,APV-Pred,GPGS
livestock_10616,62,18175,110,103,6141
gold_8757,93,30824,210,209,7116
livestock_17399,70,9420,106,111,3288
gold_2073,60,7048,63,62,1780
gold_314,61,17078,137,135,5801
livestock_2851,73,13909,122,121,4824
interest_6543,60,18341,189,186,7396
interest_17943,63,11619,116,115,4686
ship_21526,43,9384,70,71,2440
acq_9509,86,14482,215,212,6608
crude_5630,71,15860,118,124,4982
interest_13231,62,19666,81,83,3662
ship_18426,53,6134,81,83,2560
interest_1427,87,21944,153,156,5900
crude_13184,79,18226,87,84,3850
ship_2955,49,6096,82,83,2238
soybean_3458,48,21701,179,176,8652
ship_14818,110,21069,275,279,7930
crude_7496,89,23238,211,208,7515
ship_2959,48,4062,57,59,1612
ship_3796,63,7108,146,139,3075
soybean_11739,241,72773,395,399,13206
soybean_12348,35,18537,70,67,4361
soybean_15865,53,27241,75,72,4997
acq_10867,88,17693,91,93,3293
livestock_5031,59,19545,193,198,5940
crude_3174,88,18790,110,106,5389
gold_1072,55,10905,91,89,2508
livestock_16316,52,19198,149,150,6603
soybean_303,108,33336,227,231,7903
gold_5209,59,21520,113,109,4026
gold_1607,63,19222,89,92,4143
interest_411,86,21558,176,180,5970
soybean_20645,52,24287,103,97,6351
acq_21550,74,12237,110,101,3264
gold_21314,51,11052,88,93,2789
livestock_17090,41,8908,57,58,1816
gold_9104,62,12384,73,72,1675
gold_2411,53,8558,96,93,3497
interest_8153,93,29785,268,274,8826
soybean_17337,81,11344,150,150,3760
acq_2247,91,13694,152,159,4376
ship_10620,57,8784,94,92,2567
interest_8802,57,12652,138,139,5797
livestock_12376,65,10729,98,101,4063
livestock_3318,62,10450,145,143,4837
gold_488,56,14467,74,70,2215
livestock_19269,50,14714,121,118,4519
crude_7684,82,11895,142,136,4527
livestock_12595,38,20112,74,79,4206
livestock_12594,62,19842,149,146,6065
livestock_8574,44,10365,77,80,3882
acq_17701,93,16044,184,182,6193
ship_3349,47,5744,65,64,1317
interest_19201,56,12390,157,158,5392
gold_19764,57,17144,102,104,3988
acq_3387,94,13464,160,158,4964
acq_3039,86,15321,111,115,4392
crude_17100,70,24277,147,142,6572
soybean_4083,49,14213,91,90,2855
acq_18576,82,16130,179,180,5734
acq_16979,79,12682,105,104,5027
ship_4740,62,14213,163,159,6791
acq_6361,88,17760,156,160,5565
soybean_6890,303,92062,443,436,10577
interest_6359,87,19291,214,213,6323
crude_21443,74,21754,140,136,4983
soybean_5702,182,51547,387,387,11806
interest_20769,69,11385,119,113,4325
soybean_15999,54,28893,123,120,7214
crude_17816,78,16449,144,143,5623
interest_17222,80,18542,189,189,6240
interest_17071,61,14991,126,125,4994
soybean_16752,89,39190,222,228,9663
ship_18851,55,11082,148,147,4926
livestock_3901,88,30382,140,150,5717
livestock_2594,89,14939,170,171,5446
acq_19831,91,24363,192,191,5481
livestock_7924,63,12285,113,115,3087
soybean_18417,63,14338,128,122,4946
interest_12627,53,12153,78,78,3482
crude_7067,76,15871,80,78,3277
livestock_5009,68,25117,219,218,6985
crude_11455,70,20846,164,169,6675
soybean_7700,75,26428,131,126,5078
livestock_12332,62,25070,120,127,7056
soybean_1405,155,64236,410,404,11690
interest_15410,73,15638,76,74,3280
interest_16951,84,25557,131,139,5116
acq_11505,90,21906,127,127,5021
soybean_5531,70,31300,104,104,5217
livestock_2448,115,32612,278,279,8035
