id,#ofwords,#ofGPs,APV-BI,APV-Pred,GPGS
business_492,83,7688,138,134,2691
tech_247,142,22990,271,258,6320
sport_203,69,5212,67,71,2170
sport_130,64,5702,82,81,2667
entertainment_144,104,11250,142,144,3277
business_418,85,5846,122,118,2738
business_096,89,8498,155,156,3472
tech_182,126,17743,221,223,6052
entertainment_266,101,13991,179,179,5089
tech_330,133,16295,318,322,6360
politics_212,82,7934,147,148,3577
business_410,93,8399,128,129,2885
entertainment_260,112,11873,148,148,4815
business_255,94,9962,168,171,3750
entertainment_380,106,14733,131,130,4195
sport_239,66,8038,77,85,2640
sport_083,69,5043,71,74,1834
politics_310,78,7567,122,119,2974
tech_242,127,22790,178,174,4583
tech_241,128,26328,227,231,7044
politics_163,109,9638,175,172,3903
entertainment_160,96,11115,118,119,3632
tech_248,136,19454,196,198,4945
business_124,91,12570,161,166,4479
sport_052,67,8711,126,128,3217
business_483,104,9831,133,136,3496
sport_279,58,4768,46,48,1886
tech_327,138,19678,176,182,5644
business_480,90,9306,142,141,4183
business_278,90,9045,124,122,3554
business_322,77,8057,170,172,3740
business_129,93,8784,156,157,3568
tech_030,153,18313,364,358,7438
business_321,84,8890,118,122,3241
entertainment_310,84,9440,124,111,3694
entertainment_092,86,9095,87,100,3045
entertainment_317,97,8909,113,111,3354
business_408,89,9110,150,157,3009
entertainment_318,87,9812,106,106,2645
entertainment_320,102,7483,91,91,3005
entertainment_154,102,7404,93,93,2617
entertainment_157,73,7659,125,122,3444
entertainment_019,92,7443,98,107,3354
tech_284,91,13782,212,209,4586
sport_220,57,3307,60,61,1897
politics_249,65,4910,68,64,1558
politics_074,122,11276,134,136,3167
politics_077,115,11488,174,182,4373
politics_243,107,10657,156,157,3892
tech_317,86,17575,192,181,5828
sport_229,69,5952,79,75,2044
politics_150,120,10919,170,165,4134
business_431,89,8202,114,119,2765
tech_272,144,18973,230,234,5129
politics_304,78,8818,114,116,2594
politics_309,128,12296,195,195,3797
business_123,95,7480,124,125,3005
business_038,89,11211,155,151,3909
politics_091,100,10448,164,163,3437
tech_176,154,13570,168,172,4815
tech_070,167,23571,291,282,6342
politics_413,98,10918,132,138,3525
politics_412,106,15242,157,173,4681
sport_116,64,6054,70,73,2925
politics_398,79,9503,108,105,2975
entertainment_083,94,9844,120,123,3514
sport_501,68,6438,71,74,2553
business_233,77,8321,87,91,2459
business_234,88,14624,156,158,5035
entertainment_087,104,14105,160,165,5022
sport_505,75,5199,60,62,2042
business_237,80,7883,121,124,2961
business_432,86,8216,118,124,2522
business_433,88,10661,144,142,4021
entertainment_089,80,9879,105,104,3402
politics_397,42,5439,86,89,2617
sport_191,68,6882,49,54,2216
sport_457,76,7090,103,108,2587
sport_194,69,4721,69,68,1768
tech_080,144,19190,329,341,7322
entertainment_242,86,10715,122,123,3815
business_011,95,12564,161,162,4437
entertainment_003,104,14052,155,151,4581
entertainment_001,99,5871,114,115,2806
politics_004,122,13946,214,206,4437
entertainment_249,88,9558,134,128,3780
entertainment_005,113,11101,111,114,3664
sport_504,64,3718,52,53,1717
politics_237,90,7955,139,137,3430
politics_178,119,6432,66,69,1902
politics_235,85,7509,103,98,2221
entertainment_243,123,15888,167,157,4243
sport_167,65,5760,83,85,2456
tech_207,147,13711,238,248,5224
business_108,91,9541,153,147,3001
business_109,65,5935,108,107,2901
sport_162,70,4672,58,63,2128
entertainment_230,96,9377,131,130,3977
entertainment_233,104,11608,161,150,3993
entertainment_232,107,11863,92,93,3041
politics_391,87,11523,154,155,4351
entertainment_139,104,15872,164,164,4884
entertainment_332,107,16650,163,166,4393
tech_015,139,16079,177,168,5834
sport_031,71,6773,84,85,2476
business_343,76,6183,147,145,3021
tech_181,131,16040,239,243,5580
sport_444,69,4555,57,54,1696
tech_162,127,15451,209,221,4954
sport_443,76,4555,60,58,1404
tech_374,123,16737,212,209,5655
tech_377,157,18998,270,275,5799
politics_010,93,9796,115,117,3106
politics_017,91,9795,166,172,3871
politics_015,95,12426,172,171,4722
sport_506,69,3851,69,66,1834
politics_206,124,7508,139,143,2985
entertainment_186,80,8306,99,95,3326
tech_117,162,18017,287,291,5971
sport_029,72,5267,82,81,2295
tech_111,159,23848,287,281,7043
tech_057,145,21965,193,198,5338
tech_054,140,15980,226,223,5719
sport_175,67,5974,79,78,2157
sport_508,74,4290,66,64,1534
sport_173,77,5520,47,46,1881
sport_056,80,8173,107,109,3070
entertainment_222,89,8449,121,125,3669
business_194,101,8212,106,109,2897
sport_074,71,6998,90,92,2614
entertainment_344,84,8468,105,110,3076
business_355,93,9400,150,156,3188
business_352,77,5865,82,88,2318
entertainment_343,90,10998,123,121,3649
politics_026,114,10840,189,186,5101
politics_025,116,5814,122,120,2415
entertainment_107,98,15007,152,146,4407
tech_344,145,18704,255,253,5992
politics_236,82,6727,160,160,3290
politics_145,85,9974,123,123,2976
politics_144,92,6374,86,85,2393
sport_171,68,5435,75,76,2586
politics_140,106,7916,103,100,2761
politics_028,119,8035,126,129,2634
politics_044,116,9849,154,148,3490
business_280,89,11124,149,146,3764
business_283,90,11990,212,211,4846
entertainment_198,106,14854,115,115,4286
politics_037,116,6308,142,145,2513
politics_043,115,11637,180,177,4150
sport_454,62,4796,71,73,2399
business_385,102,11668,159,169,4985
sport_143,77,4936,76,78,1697
entertainment_302,90,8259,88,89,3043
sport_136,75,6839,117,121,2646
tech_257,155,15189,270,252,5109
business_369,111,7946,121,122,2908
entertainment_211,83,9066,106,109,3100
entertainment_359,111,14201,137,141,3885
sport_467,63,7231,100,109,2954
tech_314,131,14428,217,217,4559
politics_329,83,8011,149,151,3613
entertainment_309,113,12167,149,156,4164
politics_035,122,12921,200,198,3884
entertainment_112,81,11872,158,154,4373
tech_352,123,16007,235,236,5636
sport_262,65,5386,89,90,2439
sport_261,72,7123,102,101,2465
sport_471,63,7227,102,111,3016
entertainment_290,100,14132,151,146,4514
